ArkboxInteractions,Duration,MovementDuration,MovementInteractions
3031142,229016,153349,3555
2602303,1324765,1260899,9459
1348505,272958,114014,3632
930121,207241,117853,2922
681088,146544,119591,1535
617148,261883,226619,2642
564023,527948,499559,2116
526631,88481,9750,119
470721,46011,16769,946
461908,383287,174325,2513
